"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34"
"0","q0::h (3DEA20)","q0::cx (397143F)","q0::u1 (4FB63E)","q0::cx (2CD682F)","q0::u1 (138A9AD)","q0::cx (2EDAFD9)","q0::u1 (25B2EA1)","q0::cx (134A3A9)","q0::u1 (2D9C0F2)","q0::swap (164A0C8)","q2::cx (2E60CB4)","q2::u1 (2167256)","q2::cx (2CA050E)","q2::u1 (11A2D84)","q2::swap (89A70C)","q3::cx (14866F6)","q3::u1 (38B9EAD)","q3::cx (3E89415)",,,,,,,,,,,,,,,,"q3::u1 (32D34C0)"
"1","q1::u1 (22D3B23)","q1::cx* (397143F)",,"q1::cx* (2CD682F)",,,,,"q1::h (96DAC8)",,"q1::cx (3BB3978)","q1::u1 (195053A)","q1::cx (23D2F0C)","q1::u1 (26A76F)",,"q1::cx (3AFA55)","q1::u1 (212CD02)","q1::cx (2A93513)","q1::u1 (3F2DDB3)","q1::swap (D6DF6C)","q2::cx (3D825EA)","q2::u1 (299553A)","q2::cx (363FF0C)",,"q2::swap (38DDAD3)",,,,,,,,,"q0::u1 (283F772)"
"2",,,,,"q2::u1 (2FDF718)","q2::cx* (2EDAFD9)",,"q2::cx* (134A3A9)","q2::u1 (14DB10D)","q2::swap (164A0C8)","q0::cx* (3BB3978)",,"q0::cx* (23D2F0C)",,,,,,"q0::h (2A3B303)",,"q0::cx (1CBA437)","q0::u1 (28C5F3)","q0::cx (16EF58F)","q0::u1 (E6A20C)","q0::swap (38DDAD3)","q2::cx (F94616)","q2::u1 (C376CD)","q2::cx (2DF2D39)",,"q2::swap (3FCB171)",,,,"q4::u1 (1D89703)"
"3",,,,,,,,,"q3::u1 (1A7C885)",,"q3::cx* (2E60CB4)",,"q3::cx* (2CA050E)","q3::u1 (15BE2ED)","q3::swap (89A70C)","q2::cx* (3AFA55)",,"q2::cx* (2A93513)","q2::u1 (3C14B22)","q2::swap (D6DF6C)","q1::cx* (1CBA437)",,"q1::cx* (16EF58F)",,,,,,"q1::h (9D4F1C)",,"q1::cx (1C607E7)","q1::u1 (3F64723)","q1::cx (3A88043)","q1::u1 (EC825F)"
"4",,,,,,,,,,,,,,"q4::u1 (1EB99A9)",,"q4::cx* (14866F6)",,"q4::cx* (3E89415)","q4::u1 (389CB52)",,"q4::cx* (3D825EA)",,"q4::cx* (363FF0C)","q4::u1 (1BB274)",,"q4::cx* (F94616)",,"q4::cx* (2DF2D39)","q4::u1 (187C7FD)","q4::swap (3FCB171)","q2::cx* (1C607E7)",,"q2::cx* (3A88043)","q2::h (509557)"
"5"
