"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12"
"0","q0::h (2CCA100)","q0::swap (17D303E)","q1::cx* (2BEF119)",,,"q1::swap (166B231)",,"q3::cx* (B679E5)","q3::swap (9C43C1)",,"q1::h (3A11DC9)","q1::measurement (1FA6CAF)"
"1",,"q1::swap (17D303E)",,"q0::h (131A902)",,,"q0::swap (17E61CE)","q1::cx* (26A490F)","q1::swap (9C43C1)","q3::cx* (1BC9188)","q3::h (AA0C13)","q3::measurement (1CDD22F)"
"2",,,"q2::cx (2BEF119)",,,,,"q2::cx (26A490F)",,,,"q2::measurement (3C63AB)"
"3",,,,,"q3::swap (1717041)",,,"q4::cx (B679E5)",,"q4::cx (1BC9188)",,"q4::measurement (21F8103)"
"4",,,,,"q4::swap (1717041)","q3::swap (166B231)","q1::swap (17E61CE)"
"5"
