"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9"
"0","q0::h (26A490F)","q0::cx* (3A11DC9)",,"q0::swap (2BDBB06)","q2::cx* (AA0C13)","q2::swap (AB933B)",,"q3::h (3C63AB)","q3::measurement (31B8922)"
"1",,,"q1::h (1BC9188)",,"q1::cx* (1FA6CAF)",,"q1::cx* (1CDD22F)","q1::h (21F8103)","q1::measurement (3F7D238)"
"2",,"q2::cx (3A11DC9)",,"q2::swap (2BDBB06)","q0::cx (1FA6CAF)",,,,"q0::measurement (3B663FE)"
"3",,,,,"q3::cx (AA0C13)","q3::swap (AB933B)","q2::cx (1CDD22F)",,"q2::measurement (16983F6)"
"4"
"5"
