Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
1.0, 1.0 Quantum Teleportation, 0.1393537, 0.0135995, 0.0124276
1.1, 1.1 Superdense coding of 0, 0.0724678, 0.0016253, 0.0070305
1.2, 1.2 Superdense coding of 1, 0.0664503, 0.0012299, 0.0064768
1.3, 1.3 Superdense coding of 2, 0.0658017, 0.0014583, 0.0063891
1.4, 1.4 Superdense coding of 3, 0.074922, 0.0013843, 0.0073038
1.5, 1.5 Deutsch Algorithm Constant True, 0.0713504, 0.0011614, 0.006963
1.6, 1.6 Deutsch Algorithm Constant False, 0.0799021, 0.0012571, 0.0078356
1.7, 1.7 Deutsch Algorithm Identity, 0.0657505, 0.0012958, 0.0064013
1.8, 1.8 Deutsch Algorithm Inversion, 0.070352, 0.0018228, 0.0068088
1.9, 1.9 Deutsch-Josza with 3 qubits, 0.0746829, 0.0023639, 0.0071826
1.10, 1.10 Bernstein Vazrani for value 3 with 3 qubits, 0.0684999, 0.0016476, 0.0066396
1.11, 1.11 Simons Algorithm for 11, 0.0776622, 0.0017636, 0.007539
1.12, 1.12 3 Qubit Quantum Fourier Transform, 0.0714893, 0.0018851, 0.0068888
1.13, 1.13 4 Qubit Quantum Fourier Transform, 0.0758361, 0.0017184, 0.0073603
1.14, 1.14 5 Qubit Quantum Fourier Transform, 0.0859202, 0.0022505, 0.0083181
1.15, 1.15 Gover's search with 9 items, 0.0999168, 0.0026847, 0.0096763
1.16, 1.16 Quantum Approximate Optimization MaxCut, 0.0747253, 0.0018278, 0.0072537
1.17, 1.17 011_3_qubit_grover_50_, 0.1094132, 0.0034109, 0.0105515
1.18, 1.18 adder, 0.0604336, 0.0034145, 0.0056484
1.19, 1.19 bernstein-vazirani, 0.072358, 0.0017637, 0.0070177
1.20, 1.20 bigadder, 0.075223, 0.004075, 0.0070556
1.21, 1.21 Deutsch_Algorithm, 0.0663977, 0.0013657, 0.006434
1.22, 1.22 inverseqft1, 0.0689806, 0.0016483, 0.0066856
1.23, 1.23 inverseqft2, 0.0718584, 0.0014593, 0.007001
1.24, 1.24 ipea_3_pi_8, 0.0940534, 0.0027957, 0.0090833
1.25, 1.25 iswap, 0.0696027, 0.0013003, 0.0067954
1.26, 1.26 pea_3_pi_8, 0.1053677, 0.0028394, 0.0102038
1.27, 1.27 qec, 0.0768041, 0.0018558, 0.0074521
1.28, 1.28 qe_qft_3, 0.072218, 0.0015966, 0.007005
1.29, 1.29 qe_qft_4, 0.0918446, 0.0021979, 0.0089254
1.30, 1.30 qe_qft_5, 0.092745, 0.0025452, 0.0089532
1.31, 1.31 qft, 0.0769352, 0.0017598, 0.0074592
1.32, 1.32 qpt, 0.0703111, 0.0012376, 0.0068485
1.33, 1.33 rb, 0.0686023, 0.0016305, 0.0066334
1.34, 1.34 teleport, 0.0676935, 0.0013057, 0.006579
1.35, 1.35 teleportv2, 0.0787934, 0.0013623, 0.0076959
1.36, 1.36 W-state, 0.0770481, 0.0021117, 0.0074532
1.37, 1.37 W3test, 0.0667716, 0.0013706, 0.0065039
1.38, 1.38 Shors Quantum Kernel, 24.0726449, 0.3101648, 2.3761476
