"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34","Priority 35","Priority 36","Priority 37"
"0","q0::h (25E0A69)","q0::cx (3C14B78)","q0::u1 (1CBA73B)","q0::cx (28E11B)","q0::u1 (16FE9F8)","q0::swap (509557)","q1::cx (690795)","q1::u1 (3B1443F)","q1::cx (13B663A)","q1::u1 (3169810)","q1::swap (2D54016)","q2::cx (2261D15)","q2::u1 (35705BE)","q2::cx (20F33B6)","q2::u1 (288D16D)","q2::swap (17F40CC)","q3::cx (14A43C5)","q3::u1 (39C61EF)","q3::cx (7F716D)",,,"q3::swap (1794732)",,,,,,"q2::swap (14380CA)",,,,,,,,,"q3::u1 (7AFCD6)"
"1","q1::u1 (14E5DB8)","q1::cx* (3C14B78)",,"q1::cx* (28E11B)",,"q1::swap (509557)",,,,"q0::h (52E38D)",,"q0::cx (239FFCE)","q0::u1 (9FE42)","q0::cx (59F057)","q0::u1 (3297317)","q0::swap (35F871B)","q1::cx (1D6A60)","q1::u1 (108BD64)","q1::cx (14EA886)","q1::u1 (3C3ECB7)","q1::swap (25BBFF8)","q2::swap (1794732)","q3::cx (FDE5F2)","q3::u1 (ED1586)","q3::cx (55C1BE)",,"q3::swap (139BFB8)",,,,,,,,,,"q4::u1 (303CFB2)"
"2",,,,,"q2::u1 (EF39BB)",,"q2::cx* (690795)",,"q2::cx* (13B663A)","q2::u1 (2E9FFFA)","q2::swap (2D54016)","q1::cx* (239FFCE)",,"q1::cx* (59F057)",,"q1::swap (35F871B)",,,,"q0::h (3224D42)",,,"q0::cx (1DA7227)","q0::u1 (AE0365)","q0::cx (21E1E95)","q0::u1 (30F133E)",,"q0::swap (307BD7E)","q1::cx (3C516CB)","q1::u1 (1EDCD29)","q1::cx (15C3675)",,"q1::swap (345A972)",,,,"q0::u1 (3DEA20)"
"3",,,,,,,,,,"q3::u1 (3CB5890)",,"q3::cx* (2261D15)",,"q3::cx* (20F33B6)","q3::u1 (750BD1)","q3::swap (17F40CC)","q2::cx* (1D6A60)",,"q2::cx* (14EA886)","q2::u1 (34B759)","q2::swap (25BBFF8)",,"q1::cx* (1DA7227)",,"q1::cx* (21E1E95)",,,"q1::swap (307BD7E)",,,,"q0::h (22D3B23)","q0::swap (345A972)","q1::cx (4FB63E)","q1::u1 (2CD682F)","q1::cx (138A9AD)","q1::u1 (2FDF718)"
"4",,,,,,,,,,,,,,,"q4::u1 (2CF5CDD)",,"q4::cx* (14A43C5)",,"q4::cx* (7F716D)","q4::u1 (1E35270)",,,"q4::cx* (FDE5F2)",,"q4::cx* (55C1BE)","q4::u1 (387AD33)","q4::swap (139BFB8)","q3::swap (14380CA)","q2::cx* (3C516CB)",,"q2::cx* (15C3675)","q2::u1 (397143F)",,"q2::cx* (4FB63E)",,"q2::cx* (138A9AD)","q2::h (2EDAFD9)"
"5"
