Circuit Id, Circuit Name, Total Experiment Time, Analysis Time, Average Optimization Time
1.0, 1.0 Quantum Teleportation, 00:00:00.1205321, 00:00:00.0438061, 00:00:00.0083460
1.1, 1.1 Superdense coding of 0, 00:01:03.4031907, 00:01:03.3435263, 00:00:00.0063020
1.2, 1.2 Superdense coding of 1, 00:01:01.1592649, 00:01:01.1299003, 00:00:00.0031367
1.3, 1.3 Superdense coding of 2, 00:01:07.6462348, 00:01:07.5899932, 00:00:00.0059596
1.4, 1.4 Superdense coding of 3, 00:01:11.4380988, 00:01:11.3457445, 00:00:00.0063643
1.5, 1.5 Deutsch Algorithm Constant True, 00:01:03.5034265, 00:01:03.4504075, 00:00:00.0056040
1.6, 1.6 Deutsch Algorithm Constant False, 00:01:02.5506409, 00:01:02.4561413, 00:00:00.0102159
1.7, 1.7 Deutsch Algorithm Identity, 00:01:05.2040787, 00:01:05.1824505, 00:00:00.0022198
1.8, 1.8 Deutsch Algorithm Inversion, 00:01:04.4369699, 00:01:04.4221624, 00:00:00.0014502
1.9, 1.9 Deutsch-Josza with 3 qubits, 00:00:00.0712393, 00:00:00.0066455, 00:00:00.0070320
1.10, 1.10 Bernstein Vazrani for value 3 with 3 qubits, 00:00:00.0306944, 00:00:00.0029028, 00:00:00.0030002
1.11, 1.11 Simons Algorithm for 11, 00:00:00.0220724, 00:00:00.0021148, 00:00:00.0021436
1.12, 1.12 3 Qubit Quantum Fourier Transform, 00:00:08.7580663, 00:00:08.7025207, 00:00:00.0058880
1.13, 1.13 4 Qubit Quantum Fourier Transform, 00:00:00.0981859, 00:00:00.0081494, 00:00:00.0098454
1.16, 1.16 Quantum Approximate Optimization MaxCut, 00:00:12.0006938, 00:00:11.8569646, 00:00:00.0156948
1.19, 1.19 bernstein-vazirani, 00:00:09.0456395, 00:00:08.9541386, 00:00:00.0099665
1.21, 1.21 Deutsch_Algorithm, 00:01:04.2973083, 00:01:04.2835893, 00:00:00.0013067
1.22, 1.22 inverseqft1, 00:01:04.1119130, 00:01:04.0514858, 00:00:00.0064326
1.23, 1.23 inverseqft2, 00:01:06.0755342, 00:01:06.0211309, 00:00:00.0057739
1.25, 1.25 iswap, 00:01:06.6169151, 00:01:06.5667224, 00:00:00.0053477
1.27, 1.27 qec, 00:00:00.0660825, 00:00:00.0093125, 00:00:00.0061819
1.28, 1.28 qe_qft_3, 00:00:10.1377392, 00:00:10.1183544, 00:00:00.0019287
1.31, 1.31 qft, 00:00:00.0876955, 00:00:00.0081747, 00:00:00.0087061
1.32, 1.32 qpt, 00:01:18.9465214, 00:01:18.8973005, 00:00:00.0051970
1.33, 1.33 rb, 00:01:04.4239322, 00:01:04.3624582, 00:00:00.0065469
1.34, 1.34 teleport, 00:01:04.4254636, 00:01:04.4092607, 00:00:00.0015804
1.35, 1.35 teleportv2, 00:01:04.8143418, 00:01:04.7637660, 00:00:00.0053548
1.36, 1.36 W-state, 00:00:09.8039403, 00:00:09.7363725, 00:00:00.0072386
1.37, 1.37 W3test, 00:00:09.2557063, 00:00:09.2034260, 00:00:00.0054990
