"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31"
"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"q0::h (EF39BB)","q0::u3 (239FFCE)","q0::u3 (AE0365)","q0::measurement (1EDCD29)"
"1","q1::h (690795)","q1::cx* (3CB5890)",,"q1::cx* (35705BE)",,,,,,,,,"q1::u3 (9FE42)","q1::cx* (1D6A60)",,,"q1::cx* (14EA886)",,,,,,,,,,,,,"q1::u3 (21E1E95)","q1::measurement (15C3675)"
"2","q2::h (3B1443F)","q2::cx (3CB5890)","q2::u1 (2261D15)","q2::cx (35705BE)",,"q2::cx (20F33B6)","q2::u1 (288D16D)","q2::cx (2CF5CDD)",,"q2::cx (14A43C5)","q2::u1 (39C61EF)","q2::cx (7F716D)","q2::u3 (59F057)","q2::cx (1D6A60)",,"q2::u1 (108BD64)","q2::cx (14EA886)",,"q2::cx (3C3ECB7)","q2::u1 (1E35270)","q2::cx (FDE5F2)",,"q2::cx (ED1586)","q2::u1 (55C1BE)","q2::cx (303CFB2)",,,,,"q2::u3 (30F133E)","q2::measurement (3DEA20)"
"3",,,,,,,,,"q3::h (13B663A)","q3::cx* (14A43C5)",,"q3::cx* (7F716D)","q3::cx (7AFCD6)",,"q3::u1 (52E38D)","q3::cx (2E9FFFA)",,,,,,"q3::u3 (3297317)","q3::cx* (ED1586)",,"q3::cx* (303CFB2)","q3::cx (3224D42)","q3::u1 (34B759)","q3::cx (1DA7227)",,"q3::u3 (387AD33)","q3::measurement (22D3B23)"
"4",,,,,"q4::h (3169810)","q4::cx* (20F33B6)",,"q4::cx* (2CF5CDD)",,,,,"q4::cx* (7AFCD6)",,,"q4::cx* (2E9FFFA)",,"q4::u3 (750BD1)","q4::cx* (3C3ECB7)",,"q4::cx* (FDE5F2)",,,,,"q4::cx* (3224D42)",,"q4::cx* (1DA7227)",,"q4::u3 (3C516CB)","q4::measurement (397143F)"
"5"
