"Operation Index","Operation Name","Latency","Priority"
0,"u3 (2CF3E95)","00:00:00.0010000","22"
1,"barrier (149333E)","00:00:00.0010000","21"
2,"cx (392CD34)","00:00:00.0020000","20"
3,"cx (2936D7)","00:00:00.0020000","18"
4,"cx (172ED90)","00:00:00.0020000","16"
5,"cx (10A5A10)","00:00:00.0020000","14"
6,"measurement (15D2A90)","00:00:00.0030000","12"
7,"if 1 then u3 (467F11)","00:00:00.0020000","9"
8,"if 2 then u3 (27A779C)","00:00:00.0020000","7"
9,"if 3 then u3 (24E3483)","00:00:00.0020000","5"
10,"measurement (BFD89D)","00:00:00.0030000","3"
