"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30"
"0","q0::u3 (F1EE5)","q0::barrier (C8C677)","q0::u3 (30EFA35)","q0::swap (1208FD5)","q1::cx (3BD2AD5)","q1::u3 (1A68182)","q1::cx (2DA8D96)","q1::u3 (1AEFA4A)","q1::cx (346BE99)","q1::u3 (17CB368)","q1::cx (1624EAC)","q1::u3 (74C40E)",,"q1::swap (2250E81)",,"q3::cx (280ECE1)","q3::u3 (28853EF)","q3::cx (2CAF36D)",,"q3::swap (34D828B)",,,,,,,,,"q4::u3 (1228EDD)","q4::measurement (2786660)"
"1",,"q2::barrier (C8C677)","q2::u3 (386CBDE)",,"q2::cx* (3BD2AD5)",,"q2::cx* (2DA8D96)",,,,,"q2::u3 (326CC9F)",,,,"q2::cx (F20878)","q2::u3 (824C3A)","q2::cx (94AE0E)","q2::u3 (13A1E86)","q2::swap (1B996E4)","q1::cx (3EF33FB)","q1::u3 (368D3D3)","q1::cx (2AF7271)",,"q1::swap (3864E05)",,,,"q2::u3 (2B05FD)","q2::measurement (2786660)"
"2","q1::u3 (88160D)","q1::barrier (C8C677)",,"q1::swap (1208FD5)",,,,"q0::u3 (5D319F)","q0::cx* (346BE99)",,"q0::cx* (1624EAC)","q0::u3 (1AE47F)",,,"q0::swap (3B8BE2F)","q1::cx* (F20878)",,"q1::cx* (94AE0E)",,"q1::swap (1B996E4)",,,,"q2::u3 (30B12BA)","q2::swap (3864E05)","q1::cx (19CE52B)","q1::u3 (2840E87)","q1::cx (2A482C6)","q1::u3 (3C898F7)","q1::measurement (2786660)"
"3",,"q3::barrier (C8C677)",,,,,,,,,,"q3::u3 (363A88A)","q3::swap (17EAFAB)",,,"q4::cx* (280ECE1)",,"q4::cx* (2CAF36D)","q4::u3 (23705C6)","q4::swap (34D828B)","q3::cx* (3EF33FB)",,"q3::cx* (2AF7271)","q3::u3 (18335E8)",,"q3::cx* (19CE52B)",,"q3::cx* (2A482C6)","q3::u3 (20D60B5)","q3::measurement (2786660)"
"4",,,,,,,,,,,,,"q4::swap (17EAFAB)","q3::swap (2250E81)","q1::swap (3B8BE2F)"
"5"
