"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34"
"0","q0::h (3553390)","q0::cx (1F550A4)","q0::u1 (19FD5C7)","q0::cx (29E8405)","q0::u1 (392A42D)","q0::cx (165F26B)","q0::u1 (9585CB)","q0::cx (141B42A)","q0::u1 (34F5582)","q0::swap (23BEEC7)","q2::cx (1A0E24)","q2::u1 (EA7F4A)","q2::cx (3E799B)","q2::u1 (232467A)","q2::swap (1B6501)","q3::cx (1E84CCB)","q3::u1 (12AB327)","q3::cx (2804C64)",,,,,,,,,,,,,,,,"q3::u1 (282AF8C)"
"1","q1::u1 (1FED012)","q1::cx* (1F550A4)",,"q1::cx* (29E8405)",,,,,"q1::h (2982BEE)",,"q1::cx (225E691)","q1::u1 (3551B1B)","q1::cx (1FDF3F4)","q1::u1 (1ED9395)",,"q1::cx (2BB23B)","q1::u1 (189441B)","q1::cx (1D364F7)","q1::u1 (6E8CAF)","q1::swap (F68D0B)","q2::cx (2FA83A4)","q2::u1 (2CEA0CA)","q2::cx (143A722)",,"q2::swap (AAF566)",,,,,,,,,"q0::u1 (360E033)"
"2",,,,,"q2::u1 (27C59A)","q2::cx* (165F26B)",,"q2::cx* (141B42A)","q2::u1 (3598B65)","q2::swap (23BEEC7)","q0::cx* (225E691)",,"q0::cx* (1FDF3F4)",,,,,,"q0::h (267E1D0)",,"q0::cx (2DE72D6)","q0::u1 (1D2098A)","q0::cx (6255DD)","q0::u1 (37504C8)","q0::swap (AAF566)","q2::cx (68373)","q2::u1 (3A9F0C)","q2::cx (20F9772)",,"q2::swap (202A09C)",,,,"q4::u1 (28C5305)"
"3",,,,,,,,,"q3::u1 (1CA0192)",,"q3::cx* (1A0E24)",,"q3::cx* (3E799B)","q3::u1 (15A303F)","q3::swap (1B6501)","q2::cx* (2BB23B)",,"q2::cx* (1D364F7)","q2::u1 (1A6F050)","q2::swap (F68D0B)","q1::cx* (2DE72D6)",,"q1::cx* (6255DD)",,,,,,"q1::h (2EEEB2E)",,"q1::cx (198698E)","q1::u1 (25BB5FF)","q1::cx (13965FA)","q1::u1 (30495D1)"
"4",,,,,,,,,,,,,,"q4::u1 (3C47A4F)",,"q4::cx* (1E84CCB)",,"q4::cx* (2804C64)","q4::u1 (3E2F22E)",,"q4::cx* (2FA83A4)",,"q4::cx* (143A722)","q4::u1 (31D2B0C)",,"q4::cx* (68373)",,"q4::cx* (20F9772)","q4::u1 (266449E)","q4::swap (202A09C)","q2::cx* (198698E)",,"q2::cx* (13965FA)","q2::h (329445B)"
"5"
