"Operation Index","Operation Name","Latency","Priority"
0,"barrier (2014D26)","00:00:00.0010000","6"
1,"u3 (20BB659)","00:00:00.0010000","5"
2,"barrier (2696929)","00:00:00.0010000","4"
3,"measurement (1B4B276)","00:00:00.0030000","3"
