"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6"
"0","q0::h (19BCB90)","q0::cx* (27A2811)","q0::z (24B689F)","q0::cx* (A6AD9A)","q0::h (1DC1A6B)","q0::measurement (BCEDC3)"
"1",,"q1::cx (27A2811)",,"q1::cx (A6AD9A)",,"q1::measurement (2A45BDB)"
"2"
"3"
"4"
"5"
"6"
"7"
"8"
"9"
"10"
"11"
"12"
"13"
"14"
"15"
"16"
"17"
"18"
"19"
"20"
"21"
"22"
"23"
"24"
"25"
"26"
"27"
"28"
"29"
"30"
"31"
"32"
