"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24"
"0","q0::h (3E69DB5)","q0::cx (3F7E67C)","q0::u1 (3B71A63)","q0::cx (16FED80)","q0::u1 (EF5984)","q0::cx (3BB52ED)","q0::u1 (195EA5D)","q0::cx (2453D47)","q0::u1 (6F2786)","q0::swap (2B86539)","q2::cx (32B818C)","q2::u1 (878DED)","q2::cx (C3FD56)",,"q2::swap (7B8F05)",,,,,,,,,"q1::u1 (2E3E808)"
"1","q1::u1 (31B8B63)","q1::cx* (3F7E67C)",,"q1::cx* (16FED80)",,,,,"q1::h (203284C)",,"q1::cx (2FFC058)","q1::u1 (2FDC318)","q1::cx (2EBDBDF)","q1::u1 (24ABADD)","q1::swap (7B8F05)","q2::cx (1A5202B)","q2::u1 (2CE2184)","q2::cx (13F2DA9)",,"q2::swap (58072D)",,,,"q0::u1 (3389AF1)"
"2",,,,,"q2::u1 (6A25A8)","q2::cx* (3BB52ED)",,"q2::cx* (2453D47)","q2::u1 (21C6AB4)","q2::swap (2B86539)","q0::cx* (2FFC058)",,"q0::cx* (2EBDBDF)",,,,,,"q0::h (FD727F)","q0::swap (58072D)","q2::cx (313A56)","q2::u1 (1BB0D09)","q2::cx (3937555)","q2::u1 (2F2004)"
"3",,,,,,,,,"q3::u1 (3E863BA)",,"q3::cx* (32B818C)",,"q3::cx* (C3FD56)","q3::u1 (A091CB)",,"q3::cx* (1A5202B)",,"q3::cx* (13F2DA9)","q3::u1 (E9067B)",,"q3::cx* (313A56)",,"q3::cx* (3937555)","q3::h (1A82025)"
"4"
"5"
