"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9"
"0","q0::h (13F26D9)","q0::cx* (FB4AAC)",,"q0::swap (337497E)","q2::cx* (D5A014)","q2::swap (F19571)",,"q1::h (54DAA6)","q1::measurement (2D92E9B)"
"1",,,"q1::h (3385DA1)",,"q1::cx* (382A0B9)","q1::swap (F19571)","q2::cx* (397A684)","q2::h (2FBAFD8)","q2::measurement (1A2A379)"
"2",,"q2::cx (FB4AAC)",,"q2::swap (337497E)","q0::cx (382A0B9)",,,,"q0::measurement (2B7BF41)"
"3",,,,,"q3::cx (D5A014)",,"q3::cx (397A684)",,"q3::measurement (75B94E)"
"4"
"5"
