"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5"
"0"
"1"
"2"
"3",,"q1::u3 (33C270A)","q1::cx* (2085A79)","q1::u3 (24B2E49)","q1::measurement (A4A091)"
"4","q0::u3 (306AF01)","q0::u3 (11D5F62)","q0::cx (2085A79)"
"5"
"6"
"7"
"8"
"9"
"10"
"11"
"12"
"13"
"14"
"15"
"16"
"17"
"18"
"19"
"20"
"21"
"22"
"23"
"24"
"25"
"26"
"27"
"28"
"29"
"30"
"31"
"32"
