"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13"
"0","q0::h (37DD1CA)","q0::cx (2CF60F9)","q0::u1 (14A68C4)","q0::cx (39DAEE5)","q0::u1 (8B260D)","q0::cx (70A1E)","q0::u1 (3F5B11)","q0::cx (23A33A0)",,,,,"q0::u1 (BD0A2)"
"1","q1::u1 (36C601B)","q1::cx* (2CF60F9)",,"q1::cx* (39DAEE5)",,,,,"q1::h (6A55BA)","q1::cx (1A52015)","q1::u1 (2CE20C2)","q1::cx (13F26D9)","q1::u1 (3385DA1)"
"2",,,,,"q2::u1 (E45675)","q2::cx* (70A1E)",,"q2::cx* (23A33A0)","q2::u1 (3BD0390)","q2::cx* (1A52015)",,"q2::cx* (13F26D9)","q2::h (FB4AAC)"
"3"
"4"
"5"
