"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27"
"0","q0::u3 (2FA7C09)","q0::barrier (1413F18)","q0::u3 (34B37DB)","q0::cx (2CCAC98)","q0::u3 (132115B)","q0::cx (2C29C35)","q0::u3 (D77DDF)","q0::cx (1A57130)","q0::u3 (2D0FAB5)","q0::cx (158D05E)","q0::u3 (1F5356)","q0::swap (2D53D53)","q2::cx (191679A)","q2::u3 (21CA46E)","q2::cx (301C7E2)",,"q2::swap (17F27F2)",,,,,,,,,"q0::u3 (31006F7)","q0::measurement (2EF2FE2)"
"1",,"q2::barrier (1413F18)","q2::u3 (1A4F6BB)","q2::cx* (2CCAC98)",,"q2::cx* (2C29C35)",,,,,"q2::u3 (3936CDA)","q2::swap (2D53D53)","q0::cx (1E95E7D)","q0::u3 (1345265)","q0::cx (2D6E58F)","q0::u3 (18E120D)","q0::swap (17F27F2)","q2::cx (123471)","q2::u3 (A3D800)","q2::cx (1C29804)",,"q2::swap (178678A)",,,,"q3::u3 (3D75826)","q3::measurement (2EF2FE2)"
"2","q1::u3 (2CE5C58)","q1::barrier (1413F18)",,,,,"q1::u3 (2ED3B0)","q1::cx* (1A57130)",,"q1::cx* (158D05E)","q1::u3 (119EE0D)",,"q1::cx* (1E95E7D)",,"q1::cx* (2D6E58F)",,,,,,"q1::u3 (1FEA276)",,"q1::cx (322E410)","q1::u3 (3A0492)","q1::cx (20A2926)","q1::u3 (25B725E)","q1::measurement (2EF2FE2)"
"3",,"q3::barrier (1413F18)",,,,,,,,,"q3::u3 (1F3B62D)",,"q3::cx* (191679A)",,"q3::cx* (301C7E2)","q3::u3 (3903EB7)",,"q3::cx* (123471)",,"q3::cx* (1C29804)","q3::u3 (2921957)","q3::swap (178678A)","q2::cx* (322E410)",,"q2::cx* (20A2926)","q2::u3 (1370552)","q2::measurement (2EF2FE2)"
"4"
"5"
