"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25"
"0",,"q0::u3 (1E871C9)","q0::cx* (2EC0757)",,,"q0::cx* (220E87C)",,,,,,"q0::u3 (9979AE)","q0::cx* (1678A7C)",,,,"q0::cx* (2A4420C)",,"q0::cx* (3C0CB9F)","q0::u3 (1C72898)","q0::cx* (3D845)","q0::u3 (229A73)","q0::cx* (2F2DE8A)",,"q0::measurement (289D2DD)"
"1","q1::u3 (12C0017)","q1::u3 (28C00D0)","q1::cx (2EC0757)","q1::u3 (24C4214)","q1::u3 (AE52B8)","q1::cx (220E87C)","q1::u3 (3282C61)","q1::u3 (698F71)","q1::u3 (3B60AFB)","q1::u3 (16662DA)","q1::cx* (8F8021)",,,,"q1::cx* (1C2D168)",,,"q1::u3 (3C65273)","q1::cx (3C0CB9F)","q1::u3 (6D5D)","q1::cx (3D845)","q1::u3 (1376E0F)","q1::cx (2F2DE8A)",,"q1::measurement (2D869C9)"
"2",,,,,,,,,,"q2::u3 (1654720)","q2::cx (8F8021)","q2::u3 (10B812A)","q2::cx (1678A7C)","q2::u3 (A3DE60)","q2::cx (1C2D168)","q2::u3 (3D95CAC)","q2::cx (2A4420C)",,,,,,"q2::u3 (1F8E611)","q2::u3 (1C0169F)","q2::measurement (19BB818)"
"3"
"4"
"5"
