"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34"
"0","q0::h (EF39BB)","q0::cx (3B1443F)","q0::u1 (13B663A)","q0::cx (3169810)","q0::u1 (3CB5890)","q0::cx (35705BE)","q0::u1 (20F33B6)","q0::cx (288D16D)","q0::u1 (2CF5CDD)","q0::swap (27B0E2)","q2::cx (39C61EF)","q2::u1 (7F716D)","q2::cx (7AFCD6)","q2::u1 (52E38D)","q2::swap (16537F9)","q3::cx (239FFCE)","q3::u1 (9FE42)","q3::cx (59F057)",,,,,,,,,,,,,,,,"q3::u1 (3297317)"
"1","q1::u1 (690795)","q1::cx* (3B1443F)",,"q1::cx* (3169810)",,,,,"q1::h (750BD1)",,"q1::cx (108BD64)","q1::u1 (14EA886)","q1::cx (3C3ECB7)","q1::u1 (1E35270)",,"q1::cx (ED1586)","q1::u1 (55C1BE)","q1::cx (303CFB2)","q1::u1 (3224D42)","q1::swap (8EF7C3)","q2::cx (1DA7227)","q2::u1 (AE0365)","q2::cx (21E1E95)",,"q2::swap (106B5E3)",,,,,,,,,"q0::u1 (30F133E)"
"2",,,,,"q2::u1 (2261D15)","q2::cx* (35705BE)",,"q2::cx* (288D16D)","q2::u1 (1D6A60)","q2::swap (27B0E2)","q0::cx* (108BD64)",,"q0::cx* (3C3ECB7)",,,,,,"q0::h (387AD33)",,"q0::cx (1EDCD29)","q0::u1 (15C3675)","q0::cx (3DEA20)","q0::u1 (22D3B23)","q0::swap (106B5E3)","q2::cx (4FB63E)","q2::u1 (2CD682F)","q2::cx (138A9AD)",,"q2::swap (13C6501)",,,,"q4::u1 (2FDF718)"
"3",,,,,,,,,"q3::u1 (14A43C5)",,"q3::cx* (39C61EF)",,"q3::cx* (7AFCD6)","q3::u1 (FDE5F2)","q3::swap (16537F9)","q2::cx* (ED1586)",,"q2::cx* (303CFB2)","q2::u1 (3C516CB)","q2::swap (8EF7C3)","q1::cx* (1EDCD29)",,"q1::cx* (3DEA20)",,,,,,"q1::h (2EDAFD9)",,"q1::cx (134A3A9)","q1::u1 (2D9C0F2)","q1::cx (1A7C885)","q1::u1 (2E60CB4)"
"4",,,,,,,,,,,,,,"q4::u1 (2E9FFFA)",,"q4::cx* (239FFCE)",,"q4::cx* (59F057)","q4::u1 (34B759)",,"q4::cx* (1DA7227)",,"q4::cx* (21E1E95)","q4::u1 (397143F)",,"q4::cx* (4FB63E)",,"q4::cx* (138A9AD)","q4::u1 (25B2EA1)","q4::swap (13C6501)","q2::cx* (134A3A9)",,"q2::cx* (1A7C885)","q2::h (2167256)"
"5"
