"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13"
"0","q0::h (6A25A8)","q0::cx (195EA5D)","q0::u1 (2453D47)","q0::cx (6F2786)","q0::u1 (3E863BA)","q0::cx (878DED)","q0::u1 (C3FD56)","q0::cx (2E3E808)",,,,,"q0::u1 (203284C)"
"1","q1::u1 (3BB52ED)","q1::cx* (195EA5D)",,"q1::cx* (6F2786)",,,,,"q1::h (21C6AB4)","q1::cx (2FDC318)","q1::u1 (2EBDBDF)","q1::cx (24ABADD)","q1::u1 (A091CB)"
"2",,,,,"q2::u1 (32B818C)","q2::cx* (878DED)",,"q2::cx* (2E3E808)","q2::u1 (2FFC058)","q2::cx* (2FDC318)",,"q2::cx* (24ABADD)","q2::h (1A5202B)"
"3"
"4"
"5"
