"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31"
"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"q0::h (164DD52)","q0::u3 (21766D4)","q0::u3 (89BDF)","q0::measurement (1B9EA0E)"
"1","q1::h (8BC7E9)","q1::cx* (26E8699)",,"q1::cx* (F8967F)",,,,,,,,,"q1::u3 (2D29D7A)","q1::cx* (3D60030)",,,"q1::cx* (2B60F70)",,,,,,,,,,,,,"q1::u3 (4D7ADD)","q1::measurement (3893A81)"
"2","q2::h (EA0735)","q2::cx (26E8699)","q2::u1 (1E2BB63)","q2::cx (F8967F)",,"q2::cx (BD4A7F)","q2::u1 (2A79E7B)","q2::cx (3E49253)",,"q2::cx (30924F2)","q2::u1 (3524C88)","q2::cx (1E4B0CE)","q2::u3 (167894E)","q2::cx (3D60030)",,"q2::u1 (28601B7)","q2::cx (2B60F70)",,"q2::cx (668AF6)","q2::u1 (39AE2A9)","q2::cx (71F7F2)",,"q2::cx (1B782)","q2::u1 (F7392)","q2::cx (8B1023)",,,,,"q2::u3 (2B951CA)","q2::measurement (3D30E91)"
"3",,,,,,,,,"q3::h (3A40DF)","q3::cx* (30924F2)",,"q3::cx* (1E4B0CE)","q3::cx (10A3746)",,"q3::u1 (15BF177)","q3::cx (3B7D34)",,,,,,"q3::u3 (A3D3C1)","q3::cx* (1B782)",,"q3::cx* (8B1023)","q3::cx (E3913E)","q3::u1 (1B35)","q3::cx (F4DF)",,"q3::u3 (83E01F)","q3::measurement (26B831E)"
"4",,,,,"q4::h (20C47D8)","q4::cx* (BD4A7F)",,"q4::cx* (3E49253)",,,,,"q4::cx* (10A3746)",,,"q4::cx* (3B7D34)",,"q4::u3 (1C271CC)","q4::cx* (668AF6)",,"q4::cx* (71F7F2)",,,,,"q4::cx* (E3913E)",,"q4::cx* (F4DF)",,"q4::u3 (A2E11E)","q4::measurement (1C79C11)"
"5"
