"Operation Index","Operation Name","Latency","Priority"
0,"u3 (D8AEB2)","00:00:00.0010000","40"
1,"barrier (39E2445)","00:00:00.0010000","39"
2,"u3 (8F4675)","00:00:00.0010000","38"
3,"measurement (1097A22)","00:00:00.0030000","37"
4,"if 1 then u3 (1554B35)","00:00:00.0020000","34"
5,"u3 (3FFA4DF)","00:00:00.0010000","32"
6,"measurement (3FCCBD9)","00:00:00.0030000","31"
7,"if 1 then u3 (3E32AA4)","00:00:00.0020000","28"
8,"if 2 then u3 (2FC7FCA)","00:00:00.0020000","26"
9,"if 3 then u3 (2E07E1A)","00:00:00.0020000","24"
10,"u3 (1E46EEF)","00:00:00.0010000","22"
11,"measurement (107E668)","00:00:00.0030000","21"
12,"if 1 then u3 (14719B0)","00:00:00.0020000","18"
13,"if 2 then u3 (37FE737)","00:00:00.0020000","16"
14,"if 3 then u3 (37F20F7)","00:00:00.0020000","14"
15,"if 4 then u3 (37828AF)","00:00:00.0020000","12"
16,"if 5 then u3 (3396E29)","00:00:00.0020000","10"
17,"if 6 then u3 (104DF77)","00:00:00.0020000","8"
18,"if 7 then u3 (12BDB30)","00:00:00.0020000","6"
19,"u3 (28AB4B7)","00:00:00.0010000","4"
20,"measurement (2E05A74)","00:00:00.0030000","3"
