"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15"
"0","q0::u3 (34DCA42)","q0::barrier (1BC1C53)","q0::swap (2936D7)","q2::cx* (39CFEEB)","q2::swap (172ED90)",,,,,,"q3::if 1 then u3 (3AB6F30)",,,"q3::swap (10A5A10)","q2::measurement (32FA273)"
"1",,"q1::barrier (1BC1C53)",,,,"q1::cx* (84F643)",,"q1::cx* (ACA85C)",,,,,"q1::if 3 then u3 (13E2E7E)",,"q1::measurement (32FA273)"
"2",,"q2::barrier (1BC1C53)","q2::swap (2936D7)",,,,,,"q0::cx* (211EB3F)",,,"q0::if 2 then u3 (106E8B8)",,,"q0::measurement (32FA273)"
"3",,,,"q3::cx (39CFEEB)","q3::swap (172ED90)","q2::cx (84F643)","q2::swap (15D2A90)",,,"q4::measurement (2A1453E)"
"4",,,,,,,"q4::swap (15D2A90)","q2::cx (ACA85C)","q2::cx (211EB3F)","q2::measurement (2A1453E)",,,,"q2::swap (10A5A10)"
"5"
