Circuit Id, Estimated Time
1.0,0.40008000000000093
1.1,0.20006999999999964
1.2,0.20006999999999964
1.3,0.20006999999999964
1.4,0.20007999999999976
1.5,0.1000600000000001
1.6,0.10003999999999988
1.7,0.1000600000000001
1.8,0.10005000000000011
1.9,0.30017999999999995
1.10,0.30013000000000023
1.11,0.4001199999999996
1.12,0.00024000000000000028
1.13,0.0004600000000000003
1.14,0.0007500000000000012
1.15,0.0016200000000000019
1.16,0.5005499999999997
1.17,0.30158999999999986
1.18,0.5020399999999992
1.19,0.20038
1.20,0.904070000000001
1.21,0.1000600000000001
1.22,1.5001599999999966
1.23,1.0001099999999992
1.24,1.8011199999999954
1.25,0.20011000000000034
1.26,0.4014000000000004
1.27,0.5001199999999995
1.28,0.10024000000000004
1.29,0.10098000000000011
1.30,0.10145000000000012
1.31,0.10048
1.32,0.10001000000000004
1.33,0.10012999999999977
1.34,0.5000899999999988
1.35,0.6000999999999999
1.36,0.30039000000000027
1.37,0.30013000000000023
1.38,1.2938899999999982
