Circuit Id, Estimated Time
1.0,9.589044808060281E-17
1.1,3.486925384749193E-17
1.2,3.486925384749193E-17
1.3,3.486925384749193E-17
1.4,2.6151940385618946E-17
1.5,1.0896641827341228E-17
1.6,1.3075970192809473E-17
1.7,1.0896641827341228E-17
1.8,1.0896641827341228E-17
1.9,8.717313461872982E-18
1.10,2.1793283654682457E-17
1.11,4.3586567309364914E-17
1.12,2.979550499663617E-20
1.13,2.5539004282831002E-20
1.14,1.1918201998654468E-19
1.15,1.702600285522067E-19
1.16,3.486925384749193E-17
1.17,1.7434626923745964E-17
1.18,8.717313461872983E-17
1.19,0
1.20,1.0460776154247579E-16
1.21,1.0896641827341228E-17
1.22,3.486925384749193E-16
1.23,8.717313461872983E-17
1.24,4.88169553864887E-16
1.25,3.486925384749193E-17
1.26,4.3586567309364914E-17
1.27,5.230388077123789E-17
1.28,2.1793283654682455E-18
1.29,1.0896641827341228E-17
1.30,1.3075970192809473E-17
1.31,0
1.32,4.358656730936491E-18
1.33,2.3972612020150702E-17
1.34,1.2204238846622176E-16
1.35,1.7434626923745964E-17
1.36,2.6151940385618946E-17
1.37,2.1793283654682457E-17
1.38,1.7434626923745965E-16
