"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17"
"0","q0::u3 (19152F5)","q0::barrier (21BEAA2)","q0::swap (3DDFED0)","q1::cx* (2FB3FB3)","q1::swap (2CDF554)",,,,,,,,"q0::if 1 then u3 (318C2AC)",,,"q0::swap (13D9FFB)","q1::measurement (1825DC2)"
"1",,"q1::barrier (21BEAA2)","q1::swap (3DDFED0)",,"q0::swap (2CDF554)","q1::cx* (2D53D53)","q1::swap (32A9FD4)","q3::cx* (17F27F2)","q3::swap (7F9E7A)",,,,,,"q4::if 3 then u3 (2D598A3)","q4::swap (7C924D)","q3::measurement (1825DC2)"
"2",,"q2::barrier (21BEAA2)",,,,,,,"q2::swap (6124B6)","q1::cx* (178678A)","q1::swap (36A4A66)",,,"q2::if 2 then u3 (3DED812)",,,"q2::measurement (1825DC2)"
"3",,,,"q3::cx (2FB3FB3)",,"q3::cx (2D53D53)","q3::swap (32A9FD4)",,"q1::swap (6124B6)",,"q2::swap (36A4A66)","q1::measurement (13BA3DA)",,,,"q1::swap (13D9FFB)"
"4",,,,,,,,"q4::cx (17F27F2)","q4::swap (7F9E7A)","q3::cx (178678A)",,"q3::measurement (13BA3DA)",,,,"q3::swap (7C924D)"
"5"
