"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9"
"0","q0::h (F4E74F)","q0::cx* (17D303E)",,"q0::swap (FD727F)","q2::cx* (166B231)","q2::swap (E9067B)",,"q3::h (1717041)","q3::measurement (E484A5)"
"1",,,"q1::h (9C21CE)",,"q1::cx* (9C43C1)",,"q1::cx* (17E61CE)","q1::h (FCF24B)","q1::measurement (8A9D0)"
"2",,"q2::cx (17D303E)",,"q2::swap (FD727F)","q0::cx (9C43C1)",,,,"q0::measurement (4DF856)"
"3",,,,,"q3::cx (166B231)","q3::swap (E9067B)","q2::cx (17E61CE)",,"q2::measurement (2BDBB06)"
"4"
"5"
