"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31"
"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"q0::h (1F94DDF)","q0::u3 (44A55)","q0::u3 (3E8CB8A)","q0::measurement (38CA2A2)"
"1","q1::h (1C3BCD8)","q1::cx* (18AE6B4)",,"q1::cx* (F2FF2F)",,,,,,,,,"q1::u3 (269D03)","q1::cx* (19E0B89)",,,"q1::cx* (301A6A0)",,,,,,,,,,,,,"q1::u3 (32F27DC)","q1::measurement (3F1B7B3)"
"2","q2::h (3E1A39B)","q2::cx (18AE6B4)","q2::u1 (1E21C5A)","q2::cx (F2FF2F)",,"q2::cx (8AF8AC)","q2::u1 (E2BE13)","q2::cx (3F8AEAB)",,"q2::cx (3BE2406)","q2::u1 (1AF443E)","q2::cx (3296633)","q2::u3 (15B851B)","q2::cx (19E0B89)",,"q2::u1 (28E67D8)","q2::cx (301A6A0)",,"q2::cx (30EDBA0)","q2::u1 (385B8A2)","q2::cx (3B37DB8)",,"q2::cx (14F6B79)","q2::u1 (3CAC748)","q2::cx (221018D)",,,,,"q2::u3 (A866C3)","q2::measurement (37F754D)"
"3",,,,,,,,,"q3::h (2EEC07A)","q3::cx* (3BE2406)",,"q3::cx* (3296633)","q3::cx (7497CE)",,"q3::u1 (195640)","q3::cx (E40842)",,,,,,"q3::u3 (37ADF8)","q3::cx* (14F6B79)",,"q3::cx* (221018D)","q3::cx (3290DF9)","q3::u1 (717DC5)","q3::cx (3FD6BF2)",,"q3::u3 (1EB9CDF)","q3::measurement (37B1FB9)"
"4",,,,,"q4::h (264C44C)","q4::cx* (8AF8AC)",,"q4::cx* (3F8AEAB)",,,,,"q4::cx* (7497CE)",,,"q4::cx* (E40842)",,"q4::u3 (1F51DB9)","q4::cx* (30EDBA0)",,"q4::cx* (3B37DB8)",,,,,"q4::cx* (3290DF9)",,"q4::cx* (3FD6BF2)",,"q4::u3 (14883D9)","q4::measurement (3541D89)"
"5"
