"Operation Index","Operation Name","Latency","Priority"
0,"h (F4E74F)","00:00:00.0010000","11"
1,"h (9C21CE)","00:00:00.0010000","9"
2,"cx (17D303E)","00:00:00.0020000","10"
3,"cx (166B231)","00:00:00.0020000","8"
4,"cx (9C43C1)","00:00:00.0020000","8"
5,"cx (17E61CE)","00:00:00.0020000","6"
6,"h (1717041)","00:00:00.0010000","4"
7,"h (FCF24B)","00:00:00.0010000","4"
8,"measurement (E484A5)","00:00:00.0030000","3"
9,"measurement (8A9D0)","00:00:00.0030000","3"
10,"measurement (4DF856)","00:00:00.0030000","3"
11,"measurement (2BDBB06)","00:00:00.0030000","3"
