"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31","Priority 32","Priority 33","Priority 34","Priority 35","Priority 36","Priority 37","Priority 38","Priority 39","Priority 40","Priority 41","Priority 42","Priority 43","Priority 44","Priority 45","Priority 46","Priority 47","Priority 48","Priority 49","Priority 50","Priority 51","Priority 52","Priority 53","Priority 54","Priority 55","Priority 56","Priority 57","Priority 58","Priority 59","Priority 60","Priority 61","Priority 62","Priority 63","Priority 64"
"0","q4::u3 (101703C)","q4::cx* (10CF21E)","q4::u3 (1189BAA)","q4::cx* (1DD78FE)","q4::u3 (3134865)","q4::swap (224748A)","q3::swap (34818DF)","q1::cx* (3AD8B93)","q1::u3 (1E929C1)","q1::cx* (13277CA)","q1::u3 (F7E717)","q1::cx* (B71FD5)","q1::u3 (2701E81)","q1::cx* (179A6EF)","q1::u3 (37DD1CA)","q1::cx* (36C601B)",,"q1::swap (188DFDC)","q3::cx* (2CF60F9)",,"q3::cx* (39DAEE5)","q3::u3 (8B260D)","q3::cx* (70A1E)","q3::u3 (3F5B11)","q3::cx* (BD0A2)","q3::u3 (3BD0390)","q3::cx* (1A52015)","q3::u3 (2CE20C2)","q3::swap (1CFDEC3)",,,"q4::cx* (13FA1BF)","q4::u3 (1222DB6)","q4::cx* (2339B66)","q4::u3 (2542B5E)","q4::cx* (F5864F)","q4::u3 (A1B8CE)","q4::cx* (32B795F)","q4::u3 (C16738)","q4::cx* (2CCA100)",,,,,,,,,,,"q4::cx* (131A902)",,"q4::cx* (B679E5)",,,,,"q4::u3 (26A490F)","q4::swap (4ED4DB)","q3::cx* (F4E74F)","q3::u3 (17D303E)","q3::cx* (166B231)","q3::u3 (17E61CE)","q3::measurement (FCF24B)"
"1","q3::u3 (1E3B723)","q3::cx (10CF21E)","q3::u3 (1748312)","q3::cx (1DD78FE)",,"q3::swap (224748A)",,,,,,,,,,,"q4::u3 (C940EE)",,"q4::cx (2CF60F9)","q4::u3 (14A68C4)","q4::cx (39DAEE5)","q4::u3 (E45675)","q4::cx (70A1E)","q4::u3 (23A33A0)","q4::cx (BD0A2)","q4::u3 (6A55BA)","q4::cx (1A52015)",,"q4::swap (1CFDEC3)","q3::swap (2C57BB6)","q1::swap (F1596E)",,,,,,,,,,,,,,,,,"q0::swap (7C24E3)","q1::swap (5D4BFE)",,"q3::cx (131A902)","q3::u3 (2BEF119)","q3::cx (B679E5)","q3::u3 (1BC9188)","q3::cx* (2CDD6E5)","q3::u3 (320FE8F)","q3::cx* (28F30D)",,"q3::swap (4ED4DB)",,,,"q4::u3 (1717041)","q4::measurement (FCF24B)"
"2",,,,,"q2::u3 (26EA292)",,,"q2::cx (3AD8B93)","q2::u3 (119E831)","q2::cx (13277CA)","q2::u3 (2C6361F)","q2::cx (B71FD5)","q2::u3 (1F1128C)","q2::cx (179A6EF)","q2::u3 (146DE6B)","q2::cx (36C601B)",,,"q2::cx (13F26D9)","q2::u3 (3385DA1)","q2::cx (FB4AAC)","q2::u3 (382A0B9)","q2::cx (397A684)","q2::u3 (2FBAFD8)","q2::cx (2D92E9B)","q2::u3 (1A2A379)","q2::cx (75B94E)","q2::u3 (2383BF)","q2::swap (347ABF0)","q1::swap (2C57BB6)",,"q3::cx (13FA1BF)","q3::u3 (33CAFBE)","q3::cx (2339B66)","q3::u3 (3D07698)","q3::cx (F5864F)","q3::u3 (1AF7F43)","q3::cx (32B795F)","q3::u3 (87445B)","q3::cx (2CCA100)","q3::swap (1850B72)","q1::cx (337497E)","q1::u3 (F19571)","q1::cx (7E40FC)","q1::u3 (3F28FE7)","q1::cx (3870F20)","q1::u3 (1BBC959)","q1::swap (7C24E3)",,"q0::swap (1AD6705)","q1::cx (39A1422)","q1::u3 (6AB532)","q1::cx (1C354D3)","q1::u3 (3DDFB6E)","q1::cx (2CDD6E5)","q1::u3 (13C8E0F)","q1::cx (28F30D)","q1::u3 (1708B7A)",,"q1::cx (F4E74F)","q1::u3 (9C21CE)","q1::cx (166B231)","q1::u3 (9C43C1)","q1::measurement (FCF24B)"
"3",,,,,,,"q1::swap (34818DF)",,,,,,,,,,"q3::u3 (27E1210)","q3::swap (188DFDC)","q1::cx* (13F26D9)",,"q1::cx* (FB4AAC)","q1::u3 (D5A014)","q1::cx* (397A684)","q1::u3 (54DAA6)","q1::cx* (2D92E9B)","q1::u3 (2B7BF41)","q1::cx* (75B94E)","q1::u3 (3A11DC9)","q1::swap (347ABF0)",,,"q2::cx* (AA0C13)","q2::u3 (1CDD22F)","q2::cx* (3C63AB)","q2::u3 (31B8922)","q2::cx* (3F7D238)","q2::u3 (3B663FE)","q2::cx* (B5A3A7)","q2::u3 (178C804)","q2::cx* (13F082A)",,"q2::cx* (337497E)",,"q2::cx* (7E40FC)","q2::u3 (7048E0)","q2::cx* (3870F20)","q2::u3 (3BF8826)",,,,"q2::cx* (39A1422)","q2::u3 (3C05EC2)","q2::cx* (1C354D3)",,,,,,,,,,,"q2::measurement (FCF24B)"
"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"q0::u3 (B8ACAC)",,,"q0::swap (F1596E)","q1::cx (AA0C13)","q1::u3 (1FA6CAF)","q1::cx (3C63AB)","q1::u3 (21F8103)","q1::cx (3F7D238)","q1::u3 (16983F6)","q1::cx (B5A3A7)","q1::u3 (262C0E4)","q1::cx (13F082A)","q1::swap (1850B72)",,,,,,,,"q3::swap (5D4BFE)","q1::swap (1AD6705)",,,,,,,,,,,,,,"q0::measurement (FCF24B)"
"5"
