"Operation Index","Operation Name","Latency","Priority"
0,"u3 (31F4197)","00:00:00.0010000","22"
1,"barrier (194E57)","00:00:00.0010000","21"
2,"cx (E3C113)","00:00:00.0020000","20"
3,"cx (1C9AB)","00:00:00.0020000","18"
4,"cx (10170A)","00:00:00.0020000","16"
5,"cx (90CF60)","00:00:00.0020000","14"
6,"measurement (1174A66)","00:00:00.0030000","12"
7,"if 1 then u3 (1D19D9E)","00:00:00.0020000","9"
8,"if 2 then u3 (5E8A8F)","00:00:00.0020000","7"
9,"if 3 then u3 (352DF0C)","00:00:00.0020000","5"
10,"measurement (1E9D76C)","00:00:00.0030000","3"
