"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31"
"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"q0::h (3165D16)","q0::u3 (3FFA4DF)","q0::u3 (FC9EDC)","q0::measurement (17F1F0E)"
"1","q1::h (3C945C6)","q1::cx* (16537F9)",,"q1::cx* (106B5E3)",,,,,,,,,"q1::u3 (3FCCBD9)","q1::cx* (1E46EEF)",,,"q1::cx* (14719B0)",,,,,,,,,,,,,"q1::u3 (E195C1)","q1::measurement (1781780)"
"2","q2::h (21373F6)","q2::cx (16537F9)","q2::u1 (8EF7C3)","q2::cx (106B5E3)",,"q2::cx (13C6501)","q2::u1 (31F8D0E)","q2::cx (1BF583)",,"q2::cx (FBA1A2)","q2::u1 (D8AEB2)","q2::cx (39E2445)","q2::u3 (3E32AA4)","q2::cx (1E46EEF)",,"q2::u1 (107E668)","q2::cx (14719B0)",,"q2::cx (37FE737)","q2::u1 (37F20F7)","q2::cx (37828AF)",,"q2::cx (3396E29)","q2::u1 (104DF77)","q2::cx (12BDB30)",,,,,"q2::u3 (3EE43D1)","q2::measurement (138D381)"
"3",,,,,,,,,"q3::h (2AF13A7)","q3::cx* (FBA1A2)",,"q3::cx* (39E2445)","q3::cx (8F4675)",,"q3::u1 (1097A22)","q3::cx (1554B35)",,,,,,"q3::u3 (2FC7FCA)","q3::cx* (3396E29)",,"q3::cx* (12BDB30)","q3::cx (28AB4B7)","q3::u1 (2E05A74)","q3::cx (1E32E18)",,"q3::u3 (360625B)","q3::measurement (2FF6F8A)"
"4",,,,,"q4::h (27B0E2)","q4::cx* (13C6501)",,"q4::cx* (1BF583)",,,,,"q4::cx* (8F4675)",,,"q4::cx* (1554B35)",,"q4::u3 (2E07E1A)","q4::cx* (37FE737)",,"q4::cx* (37828AF)",,,,,"q4::cx* (28AB4B7)",,"q4::cx* (1E32E18)",,"q4::u3 (263753A)","q4::measurement (2FAEBDC)"
"5"
