"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23"
"0","q0::h (313A56)","q0::cx (3937555)","q0::u1 (2F2004)","q0::cx (1A82025)","q0::u1 (2E92153)","q0::cx (3C38B5F)","q0::u1 (1DFE657)","q0::cx (DF190F)","q0::u1 (3D7E188)","q0::swap (1B8B03D)","q2::cx (34E5C2A)","q2::u1 (1C13D7C)","q2::cx (3CB2964)",,"q2::swap (37E3228)",,,,,,,,"q3::u1 (224748A)"
"1","q1::u1 (1BB0D09)","q1::cx* (3937555)",,"q1::cx* (1A82025)",,,,,"q1::h (34818DF)",,"q1::cx (1CFDEC3)","q1::u1 (4ED4DB)","q1::cx (2C57BB6)","q1::u1 (F1596E)",,"q1::cx (5D4BFE)","q1::u1 (347ABF0)","q1::cx (1850B72)",,,,,"q1::u1 (1AD6705)"
"2",,,,,"q2::u1 (2322BEE)","q2::cx* (3C38B5F)",,"q2::cx* (DF190F)","q2::u1 (188DFDC)","q2::swap (1B8B03D)","q0::cx* (1CFDEC3)",,"q0::cx* (2C57BB6)",,,,,,"q0::h (3189F33)","q0::cx (2CA5F28)","q0::u1 (11D5869)","q0::cx (2081BB9)","q0::u1 (248F988)"
"3",,,,,,,,,"q3::u1 (296EDCB)",,"q3::cx* (34E5C2A)",,"q3::cx* (3CB2964)","q3::u1 (7C24E3)","q3::swap (37E3228)","q2::cx* (5D4BFE)",,"q2::cx* (1850B72)","q2::u1 (3DD98CB)","q2::cx* (2CA5F28)",,"q2::cx* (2081BB9)","q2::h (90C5D0)"
"4"
"5"
