"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31"
"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"q0::h (44A55)","q0::u3 (3E8CB8A)","q0::u3 (16478BE)","q0::measurement (3CE7BE6)"
"1","q1::h (269D03)","q1::cx* (19E0B89)",,"q1::cx* (301A6A0)",,,,,,,,,"q1::u3 (32F27DC)","q1::cx* (38CA2A2)",,,"q1::cx* (37F754D)",,,,,,,,,,,,,"q1::u3 (883EAE)","q1::measurement (2425B1A)"
"2","q2::h (15B851B)","q2::cx (19E0B89)","q2::u1 (28E67D8)","q2::cx (301A6A0)",,"q2::cx (30EDBA0)","q2::u1 (385B8A2)","q2::cx (3B37DB8)",,"q2::cx (14F6B79)","q2::u1 (3CAC748)","q2::cx (221018D)","q2::u3 (A866C3)","q2::cx (38CA2A2)",,"q2::u1 (3F1B7B3)","q2::cx (37F754D)",,"q2::cx (37B1FB9)","q2::u1 (3541D89)","q2::cx (1F509D5)",,"q2::cx (19D587D)","q2::u1 (2881C6C)","q2::cx (2C8FFD2)",,,,,"q2::u3 (CA3424)","q2::measurement (5533F1)"
"3",,,,,,,,,"q3::h (37ADF8)","q3::cx* (14F6B79)",,"q3::cx* (221018D)","q3::cx (3290DF9)",,"q3::u1 (717DC5)","q3::cx (3FD6BF2)",,,,,,"q3::u3 (1EB9CDF)","q3::cx* (19D587D)",,"q3::cx* (2C8FFD2)","q3::cx (110FE68)","q3::u1 (198F1B0)","q3::cx (2607F31)",,"q3::u3 (31BD548)","q3::measurement (2FED37A)"
"4",,,,,"q4::h (1F51DB9)","q4::cx* (30EDBA0)",,"q4::cx* (3B37DB8)",,,,,"q4::cx* (3290DF9)",,,"q4::cx* (3FD6BF2)",,"q4::u3 (14883D9)","q4::cx* (37B1FB9)",,"q4::cx* (1F509D5)",,,,,"q4::cx* (110FE68)",,"q4::cx* (2607F31)",,"q4::u3 (3FA7F8B)","q4::measurement (2F56F50)"
"5"
