"Operation Index","Operation Name","Latency","Priority"
0,"u3 (118E92B)","00:00:00.0010000","12"
1,"u3 (1E03287)","00:00:00.0010000","11"
2,"u3 (E1C6C3)","00:00:00.0010000","10"
3,"u3 (3EFFCE0)","00:00:00.0010000","10"
4,"cx (36FE3E8)","00:00:00.0020000","9"
5,"u3 (2EF032A)","00:00:00.0010000","7"
6,"u3 (2671C81)","00:00:00.0010000","7"
7,"cx (1A0008D)","00:00:00.0020000","6"
8,"u3 (2A004F7)","00:00:00.0010000","4"
9,"measurement (3A02CB0)","00:00:00.0030000","3"
10,"measurement (A19231)","00:00:00.0030000","3"
