"Operation Index","Operation Name","Latency","Priority"
0,"u3 (3A7CA16)","00:00:00.0010000","17"
1,"u3 (E61AC8)","00:00:00.0010000","19"
2,"cx (16F10F)","00:00:00.0020000","18"
3,"barrier (CE798B)","00:00:00.0010000","16"
4,"cx (34245E5)","00:00:00.0020000","15"
5,"u3 (154750E)","00:00:00.0010000","13"
6,"measurement (3F81D7F)","00:00:00.0030000","12"
7,"measurement (3B90979)","00:00:00.0030000","12"
8,"if 1 then u3 (1815545)","00:00:00.0020000","9"
9,"if 2 then u3 (18BFF75)","00:00:00.0020000","7"
10,"if 3 then u3 (1EBFB21)","00:00:00.0020000","5"
11,"measurement (14BD429)","00:00:00.0030000","3"
