"Operation Index","Operation Name","Latency","Priority"
0,"u3 (6ADF95)","00:00:00.0010000","15"
1,"u3 (3C1DC44)","00:00:00.0010000","17"
2,"cx (1D0BE6C)","00:00:00.0020000","16"
3,"barrier (56B1CC)","00:00:00.0010000","14"
4,"cx (30C402E)","00:00:00.0020000","13"
5,"u3 (36E41A4)","00:00:00.0010000","11"
6,"measurement (2E04EC5)","00:00:00.0030000","10"
7,"measurement (1E2C4F4)","00:00:00.0030000","8"
8,"if 1 then u3 (F8EC99)","00:00:00.0020000","7"
9,"if 1 then u3 (C05165)","00:00:00.0020000","5"
10,"measurement (2C2DC91)","00:00:00.0030000","3"
