"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25"
"0",,"q0::u3 (FE213E)","q0::cx* (3ACABBD)",,,"q0::cx* (2B50ED0)",,,,,,"q0::u3 (D6177D)","q0::cx* (2EFFF78)",,,,"q0::cx* (E26284)",,"q0::cx* (1FEEDE3)","q0::u3 (1F65D00)","q0::cx* (2F36D34)","q0::u3 (28ED6D4)","q0::cx* (331F937)",,"q0::measurement (C1C2F4)"
"1","q1::u3 (EF2B34)","q1::u3 (6884DC)","q1::cx (3ACABBD)","q1::u3 (11209AA)","q1::u3 (1A256FA)","q1::cx (2B50ED0)","q1::u3 (5D8554)","q1::u3 (349AFF7)","q1::u3 (1972FB2)","q1::u3 (250AD46)","q1::cx* (3BD6E9C)",,,,"q1::cx* (1EFD4F8)",,,"q1::u3 (3F576AB)","q1::cx (1FEEDE3)","q1::u3 (1A94505)","q1::cx (2F36D34)","q1::u3 (3058D77)","q1::cx (331F937)",,"q1::measurement (2CFDA97)"
"2",,,,,,,,,,"q2::u3 (386D366)","q2::cx (3BD6E9C)","q2::u3 (1A8E37F)","q2::cx (2EFFF78)","q2::u3 (26FFB38)","q2::cx (1EFD4F8)","q2::u3 (16E7CB9)","q2::cx (E26284)",,,,,,"q2::u3 (3A12C05)","q2::u3 (AA8C35)","q2::measurement (14EAF51)"
"3"
"4"
"5"
