"Qubit Index","Priority 1","Priority 2","Priority 3","Priority 4","Priority 5","Priority 6","Priority 7","Priority 8","Priority 9","Priority 10","Priority 11","Priority 12","Priority 13","Priority 14","Priority 15","Priority 16","Priority 17","Priority 18","Priority 19","Priority 20","Priority 21","Priority 22","Priority 23","Priority 24","Priority 25","Priority 26","Priority 27","Priority 28","Priority 29","Priority 30","Priority 31"
"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"q0::h (9FAF84)","q0::u3 (A740E5)","q0::u3 (241667F)","q0::measurement (3436A13)"
"1","q1::h (19D2BA4)","q1::cx* (11B8501)",,"q1::cx* (1B51599)",,,,,,,,,"q1::u3 (1E14814)","q1::cx* (2B854A4)",,,"q1::cx* (52C7FA)",,,,,,,,,,,,,"q1::u3 (4C9A7D)","q1::measurement (15EBAB2)"
"2","q2::h (28688C9)","q2::cx (11B8501)","q2::u1 (1F7AD11)","q2::cx (1B51599)",,"q2::cx (35DC263)","q2::u1 (24BD581)","q2::cx (AA818A)",,"q2::cx (1FE8DE1)","q2::u1 (1F2FCEE)","q2::cx (18AE462)","q2::u3 (EB88B8)","q2::cx (2B854A4)",,"q2::u1 (7AF9C6)","q2::cx (52C7FA)",,"q2::cx (2E907D2)","q2::u1 (2314666)","q2::cx (3BB7996)",,"q2::cx (197464D)","q2::u1 (25178BB)","q2::cx (DD3E99)",,,,,"q2::u3 (2B16E69)","q2::measurement (549043)"
"3",,,,,,,,,"q3::h (2BACF12)","q3::cx* (1FE8DE1)",,"q3::cx* (18AE462)","q3::cx (1E20776)",,"q3::u1 (F2432B)","q3::cx (845C8B)",,,,,,"q3::u3 (47CE7A)","q3::cx* (197464D)",,"q3::cx* (DD3E99)","q3::cx (3C73369)","q3::u1 (200CEB2)","q3::cx (2074447)",,"q3::u3 (3CE1B4)","q3::measurement (2F91261)"
"4",,,,,"q4::h (9147AA)","q4::cx* (35DC263)",,"q4::cx* (AA818A)",,,,,"q4::cx* (1E20776)",,,"q4::cx* (845C8B)",,"q4::u3 (286424B)","q4::cx* (2E907D2)",,"q4::cx* (3BB7996)",,,,,"q4::cx* (3C73369)",,"q4::cx* (2074447)",,"q4::u3 (223EF57)","q4::measurement (2C1A56C)"
"5"
